iter	MultiClass
0	1.096878407
1	1.095286008
2	1.093101774
3	1.091566947
4	1.08941358
5	1.088307159
6	1.086806466
7	1.084173857
8	1.082048001
9	1.080593867
10	1.07846478
11	1.076060315
12	1.075036742
13	1.073944903
14	1.072720971
15	1.070612118
16	1.069666255
17	1.069089167
18	1.068359556
19	1.066794819
20	1.065856131
21	1.064692145
22	1.063338419
23	1.061934393
24	1.060534724
25	1.058156344
26	1.056393398
27	1.054945149
28	1.053707818
29	1.051895637
30	1.050569955
31	1.047974199
32	1.045543572
33	1.044295296
34	1.043269067
35	1.042142905
36	1.041311423
37	1.03916712
38	1.037835919
39	1.036661669
40	1.035259199
41	1.034124666
42	1.032948506
43	1.031428162
44	1.029752314
45	1.028907476
46	1.027549119
47	1.026486533
48	1.02499642
49	1.023703208
50	1.02272717
51	1.021249878
52	1.019472224
53	1.017575559
54	1.016715124
55	1.015072861
56	1.013540699
57	1.01234915
58	1.011280719
59	1.00978367
60	1.007501896
61	1.006722314
62	1.006123794
63	1.00523978
64	1.003920725
65	1.002279479
66	1.000854118
67	0.9996494861
68	0.9987195931
69	0.9982370406
70	0.9975507605
71	0.9958241161
72	0.9944526112
73	0.992904792
74	0.9922387207
75	0.9909554157
76	0.9893181574
77	0.9882901334
78	0.9864873654
79	0.9857471096
80	0.9841920428
81	0.9833212931
82	0.9820400853
83	0.9810862903
84	0.980474983
85	0.9783964364
86	0.9769390737
87	0.975004927
88	0.9737319523
89	0.9724899912
90	0.9716352616
91	0.9696353467
92	0.9681922763
93	0.9673234622
94	0.9666957973
95	0.9655942258
96	0.9639473859
97	0.9627303905
98	0.9621766738
99	0.9606702686
100	0.9592210421
101	0.9580505521
102	0.9571043504
103	0.9560335422
104	0.9546828998
105	0.9527046743
106	0.9515424966
107	0.9503365314
108	0.9491856759
109	0.9480456398
110	0.9473404393
111	0.9468195052
112	0.9459039765
113	0.9444125414
114	0.9430156058
115	0.9425532392
116	0.9414469407
117	0.9403106126
118	0.9391992579
119	0.9380889807
120	0.936722962
121	0.9357713684
122	0.9346328989
123	0.9339839263
124	0.9329680607
125	0.932289313
126	0.9315216002
127	0.9304752531
128	0.929183126
129	0.9284011091
130	0.9274884275
131	0.9268790004
132	0.9263439547
133	0.9255068071
134	0.9247439779
135	0.9242556831
136	0.9232308414
137	0.9223120471
138	0.9214752642
139	0.920925181
140	0.920186648
141	0.9188060075
142	0.9173211836
143	0.9161054421
144	0.9147216821
145	0.9130984785
146	0.9116006545
147	0.9108227561
148	0.909589245
149	0.9084547309
150	0.9078763916
151	0.9067723914
152	0.9059561272
153	0.9050501111
154	0.9046964962
155	0.9039943777
156	0.9033863948
157	0.9025936724
158	0.9016263467
159	0.9011086959
160	0.8999290742
161	0.8989944578
162	0.8979628192
163	0.8971773961
164	0.8958776644
165	0.8944288485
166	0.8936452248
167	0.8924581016
168	0.8915208252
169	0.8909879186
170	0.8904922165
171	0.8900390014
172	0.889218758
173	0.8888811963
174	0.8876295141
175	0.8871427015
176	0.8861769313
177	0.8844756688
178	0.8836305611
179	0.8828015395
180	0.8824065767
181	0.8816458275
182	0.8807682942
183	0.879632058
184	0.8787835634
185	0.8777159532
186	0.8768783582
187	0.8760284848
188	0.8754457676
189	0.875151949
