iter	Passed	Remaining
0	162	161905
1	169	84610
2	177	58967
3	185	46078
4	193	38567
5	201	33404
6	209	29765
7	217	27002
8	225	24871
9	233	23115
10	241	21696
11	248	20452
12	255	19379
13	262	18500
14	269	17698
15	277	17048
16	284	16439
17	291	15900
18	298	15392
19	305	14966
20	312	14576
21	319	14207
22	326	13888
23	333	13562
24	340	13279
25	347	13015
26	354	12789
27	361	12563
28	369	12358
29	376	12163
30	383	11974
31	390	11807
32	397	11659
33	405	11516
34	412	11369
35	419	11239
36	426	11108
37	434	10997
38	441	10882
39	448	10757
40	455	10646
41	461	10535
42	469	10442
43	476	10343
44	483	10253
45	491	10183
46	498	10098
47	505	10021
48	511	9936
49	519	9862
50	525	9785
51	533	9717
52	540	9651
53	547	9583
54	554	9523
55	561	9457
56	568	9403
57	575	9346
58	582	9291
59	589	9233
60	595	9173
61	602	9120
62	609	9060
63	616	9009
64	622	8960
65	629	8908
66	637	8877
67	645	8850
68	653	8823
69	662	8796
70	670	8771
71	677	8731
72	697	8853
73	704	8818
74	711	8777
75	719	8743
76	726	8703
77	733	8675
78	740	8637
79	747	8597
80	754	8561
81	761	8524
82	768	8491
83	775	8461
84	783	8433
85	790	8405
86	798	8381
87	806	8356
88	813	8331
89	820	8299
90	827	8266
91	835	8247
92	842	8219
93	850	8193
94	856	8163
95	864	8137
96	871	8109
97	877	8081
98	884	8051
99	892	8028
100	899	8007
101	906	7980
102	914	7960
103	921	7935
104	928	7913
105	935	7891
106	942	7865
107	950	7847
108	956	7819
109	963	7799
110	970	7774
111	978	7757
112	985	7738
113	993	7717
114	1000	7697
115	1007	7678
116	1014	7658
117	1021	7632
118	1028	7611
119	1035	7592
120	1042	7570
121	1049	7550
122	1055	7527
123	1063	7510
124	1070	7492
125	1078	7479
126	1085	7459
127	1092	7441
128	1099	7420
129	1105	7400
130	1113	7385
131	1119	7364
132	1127	7349
133	1134	7330
134	1141	7315
135	1149	7299
136	1155	7281
137	1163	7269
138	1170	7250
139	1177	7235
140	1184	7216
141	1192	7206
142	1200	7192
143	1207	7175
144	1214	7160
145	1221	7142
146	1228	7127
147	1234	7109
148	1242	7094
149	1249	7078
150	1255	7061
151	1263	7046
152	1269	7028
153	1277	7016
154	1283	6998
155	1290	6983
156	1297	6967
157	1304	6950
158	1312	6940
159	1318	6922
160	1326	6910
161	1332	6893
162	1340	6880
163	1347	6866
164	1354	6852
165	1361	6840
166	1367	6822
167	1375	6810
168	1381	6794
169	1388	6781
170	1396	6767
171	1403	6754
172	1410	6741
173	1417	6726
174	1424	6714
175	1431	6701
176	1438	6688
177	1445	6676
178	1452	6662
179	1460	6652
180	1467	6639
181	1474	6626
182	1481	6614
183	1489	6604
184	1496	6594
185	1503	6581
186	1510	6568
187	1517	6555
188	1525	6544
189	1531	6529
190	1538	6515
191	1544	6500
192	1551	6488
193	1558	6475
194	1565	6461
195	1572	6451
196	1579	6438
197	1586	6427
198	1593	6412
199	1599	6398
200	1606	6387
201	1613	6373
202	1620	6363
203	1627	6352
204	1635	6341
205	1641	6328
206	1648	6315
207	1656	6306
208	1662	6292
209	1669	6280
210	1676	6268
211	1683	6257
212	1690	6247
213	1697	6236
214	1705	6225
215	1712	6216
216	1719	6204
217	1726	6192
218	1733	6183
219	1741	6172
220	1747	6160
221	1755	6151
222	1762	6140
223	1769	6129
224	1776	6117
225	1782	6104
226	1789	6093
227	1796	6081
228	1803	6071
229	1809	6059
230	1816	6048
231	1823	6036
232	1830	6025
233	1837	6015
234	1844	6003
235	1851	5993
236	1858	5983
237	1865	5972
238	1872	5961
239	1879	5950
240	1885	5939
241	1892	5928
242	1899	5917
243	1906	5906
244	1912	5894
245	1919	5883
246	1927	5874
247	1934	5865
248	1942	5859
249	1950	5850
250	1957	5840
251	1964	5831
252	1971	5821
253	1977	5809
254	1984	5799
255	1991	5788
256	1998	5778
257	2005	5768
258	2012	5758
259	2018	5746
260	2025	5734
261	2032	5724
262	2039	5714
263	2045	5703
264	2052	5693
265	2059	5683
266	2066	5673
267	2072	5661
268	2079	5651
269	2086	5642
270	2094	5633
271	2100	5622
272	2107	5611
273	2114	5602
274	2121	5591
275	2128	5582
276	2134	5572
277	2141	5562
278	2148	5553
279	2155	5543
280	2162	5533
281	2169	5523
282	2176	5513
283	2183	5504
284	2190	5495
285	2197	5487
286	2204	5476
287	2211	5466
288	2218	5457
289	2224	5447
290	2231	5437
291	2238	5427
292	2245	5417
293	2252	5408
