iter	MultiClass
0	1.096487144
1	1.094491044
2	1.091588613
3	1.090659393
4	1.089658284
5	1.08739569
6	1.084709979
7	1.082353255
8	1.080534773
9	1.078986103
10	1.077843556
11	1.075979296
12	1.07471623
13	1.072099571
14	1.070537343
15	1.069238304
16	1.067840286
17	1.066610351
18	1.065011551
19	1.06330921
20	1.061774274
21	1.060716001
22	1.059244343
23	1.05786195
24	1.056512029
25	1.05480836
26	1.053727883
27	1.05270334
28	1.050847634
29	1.049089025
30	1.046982331
31	1.045059748
32	1.043655133
33	1.042711322
34	1.041015329
35	1.03977376
36	1.039159193
37	1.03798257
38	1.036478115
39	1.034845858
40	1.032925285
41	1.030854834
42	1.029846824
43	1.028650135
44	1.027380791
45	1.026125164
46	1.02543315
47	1.023764342
48	1.021552045
49	1.020665517
50	1.019612332
51	1.017620042
52	1.016075606
53	1.014414477
54	1.012932521
55	1.011677718
56	1.010368495
57	1.009336108
58	1.007496136
59	1.005763897
60	1.004923085
61	1.003999838
62	1.002731015
63	1.00222053
64	1.001259858
65	0.9998956157
66	0.9984447572
67	0.9968700519
68	0.9953007892
69	0.9942185972
70	0.9935057164
71	0.9929589667
72	0.9912502142
73	0.9905324871
74	0.9896559274
75	0.9879650412
76	0.9871365088
77	0.9857630041
78	0.9849840962
79	0.9835059348
80	0.9826484039
81	0.9805568707
82	0.9796290051
83	0.9781371677
84	0.9768543522
85	0.9754723985
86	0.9737628485
87	0.972390674
88	0.9710503357
89	0.9688307686
90	0.9681993641
91	0.9673465547
92	0.9664842015
93	0.9655365016
94	0.9651170633
95	0.9639552019
96	0.9632605153
97	0.9627040676
98	0.9614838504
99	0.9603612666
100	0.9593363231
101	0.9579612094
102	0.9565199294
103	0.9554037221
104	0.9539584265
105	0.9526376308
106	0.951717197
107	0.9502812343
108	0.9494720646
109	0.9479082123
110	0.9473882903
111	0.9461696252
112	0.9450503252
113	0.9441094068
114	0.9425110551
115	0.9411640068
116	0.9400070644
117	0.9395022191
118	0.9386265
119	0.9371565364
120	0.936101733
121	0.9354896829
122	0.9341256965
123	0.9333220579
124	0.9319362269
125	0.9308954577
126	0.9303415528
127	0.9296785228
128	0.9290633688
129	0.9282415967
130	0.9268641475
131	0.9252876637
132	0.9246108928
133	0.923684141
134	0.9231549807
135	0.9224696723
136	0.9217532927
137	0.9210965642
138	0.9204139946
139	0.9196540336
140	0.9171637846
141	0.9156280797
142	0.914549797
143	0.9138013251
144	0.912736148
145	0.911460442
146	0.9108838693
147	0.9095360495
148	0.9089861835
149	0.9081323944
150	0.9074385871
151	0.905460303
152	0.9044852453
153	0.9033775768
154	0.9018274751
155	0.9012477504
156	0.9007545361
157	0.8983566602
158	0.8973534649
159	0.8967684788
160	0.8963938309
161	0.8953567302
162	0.8948193297
163	0.8940188386
164	0.8930953894
165	0.8917621773
166	0.8911197322
167	0.8907892052
168	0.8902353881
169	0.8886918797
170	0.8877932474
171	0.8869179939
172	0.886322997
173	0.8855539971
174	0.88491981
175	0.8841177058
176	0.8834198685
177	0.8828593321
178	0.8820203469
179	0.881165504
180	0.8791850432
181	0.8784931743
182	0.8766586733
183	0.8751855781
184	0.8745147845
185	0.8729875285
186	0.8723925851
187	0.8709449293
188	0.8703093176
189	0.8696901293
190	0.8691699183
191	0.8683420913
192	0.867544628
193	0.8671959408
194	0.8668316872
195	0.8655148307
196	0.8647084159
197	0.8636697265
198	0.8625742514
199	0.8616494591
200	0.8607184106
201	0.8597189086
202	0.8591671163
203	0.8581058558
204	0.8571893855
205	0.8562763697
206	0.8558990448
207	0.8551633547
208	0.8545155863
209	0.8536354495
210	0.8533026277
211	0.8516526952
212	0.8507779587
213	0.8498625691
214	0.8494477519
215	0.8489755982
216	0.848304049
217	0.8474551704
218	0.8467244429
219	0.8459098013
220	0.8452926545
221	0.8443487397
222	0.8435788937
223	0.8431462878
224	0.8422043289
225	0.8417693076
226	0.8412212409
227	0.8405450277
228	0.8393688677
229	0.8387304127
230	0.8374434476
231	0.8362989419
232	0.8355791571
233	0.8349334546
234	0.8345025208
235	0.8341078307
236	0.8331205093
237	0.8317556061
238	0.8310577682
239	0.8301772111
240	0.8294284489
241	0.8289478747
242	0.8282488762
243	0.8270557075
244	0.8260555097
245	0.8248769886
246	0.824071607
247	0.8231565325
248	0.822271551
249	0.8219618758
250	0.8215610762
251	0.8210298341
252	0.819691933
253	0.8185480619
254	0.8176265268
255	0.8157245943
256	0.8151862684
257	0.8148125679
258	0.8140635771
259	0.8136247337
260	0.8132001596
261	0.8119848483
262	0.8105824435
263	0.810131883
264	0.809502041
265	0.8086378242
266	0.8079048125
267	0.8075475122
268	0.8067146406
269	0.8061173708
270	0.8055504426
271	0.8042592245
272	0.8029863397
273	0.8025454367
274	0.8017141365
275	0.8011257411
276	0.8004779421
277	0.8001313163
278	0.7992871731
279	0.7985595674
280	0.7977250618
281	0.7967520359
282	0.7955211121
283	0.7948686286
284	0.7939707171
285	0.7932490155
286	0.7919593085
287	0.7914395876
288	0.7909915693
289	0.7904866615
290	0.7895535592
291	0.7892116799
292	0.7883866199
293	0.7878001959
294	0.7864850415
295	0.7857563435
296	0.7853025852
297	0.7848470659
298	0.7844283898
299	0.7837042547
300	0.7831203828
301	0.7818325365
302	0.7813607265
303	0.7801898995
304	0.7795887503
305	0.7787005504
306	0.77842126
307	0.7778517697
308	0.7773545279
309	0.7769578097
310	0.7764687497
311	0.7757950593
312	0.7755152941
313	0.7747626326
314	0.7742475024
315	0.7734315076
316	0.7725664478
317	0.7722423088
318	0.7714038388
319	0.7700631331
320	0.7695582103
321	0.769004445
322	0.7682414915
323	0.7668616301
324	0.7660216217
325	0.765534807
326	0.7646770663
327	0.7638493385
328	0.7629587557
329	0.7624522911
330	0.762099892
331	0.7614347444
332	0.7604804444
333	0.7598749308
334	0.7594975596
335	0.758795825
336	0.7579557218
337	0.7573121491
338	0.756368083
339	0.7554556991
340	0.7549250834
341	0.7542403897
342	0.7538495614
343	0.753422377
344	0.7523597909
345	0.7520052489
346	0.7510372298
347	0.7507711881
348	0.7501892685
349	0.7495776874
350	0.7490468364
351	0.7483835489
352	0.747914552
353	0.7471273945
354	0.7465571809
355	0.7457944989
356	0.7452673097
357	0.7447634549
358	0.7440054799
359	0.7432173307
360	0.7426592309
361	0.7424015857
362	0.7418115804
363	0.7411897409
364	0.7408588741
365	0.7403254637
366	0.739881393
367	0.7392131888
368	0.7385675015
369	0.7377711937
370	0.7370954543
371	0.7364133268
372	0.7358833377
373	0.735478114
374	0.7348324318
375	0.7343979775
376	0.7336591302
377	0.7329389323
378	0.7325935619
379	0.7317806726
380	0.7314739486
381	0.7308578694
382	0.7303504654
383	0.7290555187
384	0.7285146294
385	0.7279794155
386	0.7267145851
387	0.7262862662
388	0.7259780647
389	0.725647968
390	0.7249275154
391	0.7243471278
392	0.723899531
393	0.7234313914
394	0.7229831388
395	0.7225908598
396	0.7222436455
397	0.7216926442
398	0.7212959893
399	0.7204265436
400	0.7196380089
401	0.7192185742
402	0.7187626181
403	0.7183478456
404	0.7178511373
405	0.717103685
406	0.7160286932
407	0.7158355562
408	0.7154442734
409	0.7147950378
410	0.7137269879
411	0.7132869115
412	0.712527028
413	0.7120469118
414	0.7112784989
415	0.710998301
416	0.7105075825
417	0.7101060011
418	0.7096383404
419	0.7086407821
420	0.708411166
421	0.7078425437
422	0.7075366971
423	0.7071177324
424	0.7062367849
425	0.7057995664
426	0.7052374651
427	0.7046339094
428	0.7037682096
429	0.7029656138
430	0.7026415404
431	0.7023450142
432	0.7017014117
433	0.701169832
434	0.7006851513
435	0.7001706153
436	0.699846221
437	0.6996112719
438	0.699125815
439	0.6986322749
440	0.6983062178
441	0.6980022697
442	0.6977029962
443	0.6972638304
444	0.6969229104
445	0.6961537531
446	0.6953996682
447	0.6948601184
448	0.6944319732
449	0.6939046988
450	0.6932249296
451	0.6928663361
452	0.6923413489
453	0.6918254928
454	0.6910403527
455	0.6907779583
456	0.6899015227
457	0.6894715178
458	0.6889928522
459	0.6886201236
460	0.6883757791
461	0.6880097739
462	0.6875322473
463	0.6870932126
464	0.6867253875
465	0.6859259816
466	0.6852652415
467	0.6849961122
468	0.6844974745
469	0.6841581963
470	0.6835889256
471	0.6828106413
472	0.6821210507
473	0.6818905419
474	0.6816336448
475	0.6811334123
476	0.6805273635
477	0.6800778635
478	0.6794555542
479	0.6790647425
480	0.6786373664
481	0.6782594953
482	0.6777294342
483	0.6775046497
484	0.6768101286
485	0.676495589
486	0.6756915518
487	0.6750480995
488	0.6745716869
489	0.6740871464
490	0.6737869145
491	0.6734410786
492	0.6728766018
493	0.6725474582
494	0.6722715985
495	0.6717823254
496	0.6715337692
497	0.6705284022
498	0.6693798678
499	0.668900914
500	0.6682185502
501	0.6677597089
502	0.6673742453
503	0.6668775871
504	0.6662233983
505	0.6656426449
506	0.6653185598
507	0.664474204
508	0.6640080789
509	0.6636430938
510	0.6634224844
511	0.6630178763
512	0.6625967948
513	0.6619210333
514	0.6613416263
515	0.6607886034
516	0.6605783252
517	0.6601639313
518	0.6599387564
519	0.6597447398
520	0.6591850178
521	0.6589138996
522	0.6581211197
523	0.6578426563
524	0.6574444586
525	0.6569274311
526	0.6565182105
527	0.6558204511
528	0.6554206786
529	0.6547094401
530	0.6543547333
531	0.6539469993
532	0.6535880507
533	0.6531593743
534	0.6527286519
535	0.6521906627
