iter	Passed	Remaining
0	10	10980
1	20	10147
2	30	10115
3	39	9916
4	62	12464
5	72	12092
6	83	11776
7	92	11520
8	102	11281
9	112	11159
10	123	11080
11	144	11921
12	154	11709
13	164	11581
14	174	11469
15	184	11335
16	194	11269
17	205	11186
18	228	11813
19	239	11715
20	249	11624
21	259	11548
22	270	11483
23	280	11401
24	290	11326
25	299	11236
26	323	11669
27	333	11576
28	344	11535
29	354	11463
30	364	11397
31	375	11344
32	384	11280
33	394	11217
34	404	11165
35	414	11098
36	424	11047
37	433	10979
38	458	11285
39	469	11256
40	482	11296
41	496	11335
42	511	11377
43	525	11425
44	540	11461
45	551	11444
46	576	11682
47	589	11683
48	599	11634
49	609	11584
50	619	11533
51	628	11465
52	652	11663
53	662	11609
54	673	11575
55	684	11530
56	694	11482
57	704	11442
58	713	11385
59	738	11571
60	751	11575
61	770	11656
62	780	11609
63	803	11757
64	813	11707
65	824	11672
66	835	11635
67	846	11597
68	856	11558
69	866	11517
70	876	11467
71	886	11423
72	896	11384
73	906	11338
74	916	11307
75	926	11268
76	950	11392
77	960	11356
78	984	11475
79	994	11441
80	1018	11556
81	1028	11518
82	1038	11478
83	1050	11453
84	1060	11417
85	1071	11390
86	1082	11363
87	1093	11331
88	1104	11301
89	1114	11267
90	1124	11236
91	1135	11206
92	1146	11177
93	1156	11145
94	1166	11116
95	1176	11082
96	1201	11181
97	1211	11150
98	1222	11123
99	1232	11096
100	1242	11063
101	1252	11030
102	1263	11002
103	1273	10969
104	1296	11052
105	1306	11020
106	1318	11003
107	1329	10983
108	1340	10957
109	1350	10928
110	1361	10901
111	1370	10867
112	1380	10838
113	1391	10812
114	1401	10781
115	1411	10754
116	1420	10723
117	1430	10695
118	1440	10668
119	1451	10641
120	1461	10616
121	1471	10586
122	1481	10564
123	1491	10539
124	1501	10508
125	1510	10479
126	1520	10450
127	1530	10425
128	1540	10398
129	1563	10465
130	1573	10436
131	1582	10408
132	1592	10380
133	1601	10353
134	1611	10326
135	1620	10298
136	1644	10359
137	1654	10335
138	1664	10310
139	1674	10285
140	1683	10258
141	1693	10234
142	1704	10212
143	1726	10264
144	1736	10241
145	1746	10218
146	1757	10195
147	1766	10170
148	1776	10146
149	1787	10127
150	1809	10172
151	1819	10148
152	1828	10124
153	1839	10104
154	1849	10081
155	1860	10064
156	1870	10043
157	1880	10019
158	1890	10000
159	1901	9982
160	1911	9959
161	1920	9936
162	1929	9908
163	1939	9885
164	1948	9859
165	1971	9906
166	1981	9883
167	2004	9927
168	2013	9902
169	2024	9882
170	2033	9857
171	2042	9832
172	2052	9809
173	2061	9787
174	2071	9767
175	2081	9747
176	2105	9788
177	2115	9767
178	2124	9743
179	2135	9727
180	2145	9706
181	2155	9688
182	2165	9668
183	2175	9646
184	2185	9629
185	2195	9608
186	2205	9589
187	2215	9567
188	2224	9545
189	2234	9527
190	2243	9504
191	2268	9546
192	2277	9523
193	2287	9502
194	2296	9482
195	2306	9460
196	2316	9440
197	2325	9420
198	2335	9400
199	2349	9397
200	2368	9415
201	2378	9395
202	2388	9376
203	2398	9358
204	2407	9337
205	2417	9319
206	2427	9299
207	2451	9334
208	2462	9318
209	2472	9300
210	2482	9283
211	2493	9268
212	2516	9298
213	2527	9281
214	2537	9263
215	2549	9252
216	2559	9237
217	2571	9224
218	2582	9209
219	2593	9195
220	2603	9176
221	2614	9162
222	2629	9160
223	2648	9175
224	2658	9157
225	2667	9136
226	2678	9122
227	2690	9109
228	2714	9138
229	2724	9122
230	2734	9104
231	2759	9134
232	2769	9115
233	2794	9146
234	2804	9131
235	2816	9118
236	2828	9106
237	2839	9091
238	2849	9074
239	2860	9059
240	2871	9043
241	2881	9026
242	2892	9011
243	2903	8994
244	2913	8978
245	2924	8963
246	2934	8945
247	2957	8968
248	2967	8949
249	2991	8973
250	3001	8957
251	3012	8941
252	3023	8925
253	3033	8908
254	3043	8891
255	3054	8876
256	3064	8859
257	3074	8842
258	3084	8825
259	3094	8807
260	3104	8790
261	3114	8772
262	3124	8756
263	3134	8738
264	3143	8719
265	3153	8702
266	3163	8685
267	3173	8668
268	3184	8652
269	3205	8666
270	3214	8648
271	3225	8632
272	3235	8616
273	3245	8598
274	3255	8583
275	3266	8567
276	3275	8550
277	3286	8535
278	3296	8518
279	3319	8536
280	3329	8518
281	3339	8502
282	3349	8485
283	3358	8467
284	3368	8451
285	3378	8433
286	3402	8451
287	3412	8435
288	3421	8418
289	3432	8403
290	3442	8387
291	3452	8372
292	3463	8356
293	3484	8367
294	3495	8352
295	3505	8336
296	3515	8320
297	3525	8303
298	3534	8287
299	3545	8271
300	3554	8255
301	3565	8239
302	3574	8222
303	3584	8206
304	3594	8189
305	3616	8201
306	3625	8184
307	3635	8169
308	3645	8153
309	3655	8136
310	3665	8120
311	3676	8107
312	3687	8094
313	3698	8079
314	3709	8065
315	3733	8081
316	3745	8069
317	3755	8055
318	3767	8042
319	3778	8029
320	3789	8015
321	3812	8027
322	3823	8013
323	3833	7999
324	3844	7983
325	3853	7967
326	3863	7951
327	3873	7936
328	3896	7946
329	3906	7931
330	3916	7915
331	3926	7900
332	3936	7884
333	3946	7869
334	3955	7852
335	3965	7836
336	3975	7820
337	3984	7803
338	4008	7816
339	4018	7801
340	4028	7785
341	4038	7770
342	4048	7754
343	4058	7739
344	4068	7723
345	4078	7708
346	4087	7692
347	4110	7701
348	4119	7684
349	4129	7669
350	4139	7654
351	4149	7638
352	4159	7623
353	4168	7607
354	4178	7591
355	4187	7575
356	4198	7561
357	4208	7547
358	4218	7532
359	4241	7539
360	4250	7524
361	4260	7509
362	4269	7492
363	4279	7477
364	4289	7462
365	4298	7446
366	4321	7454
367	4330	7437
368	4340	7422
369	4350	7407
370	4372	7413
371	4382	7397
372	4392	7383
373	4402	7369
374	4412	7353
375	4423	7340
376	4433	7326
377	4443	7311
378	4453	7297
379	4462	7281
380	4472	7266
381	4482	7252
382	4504	7256
